,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
0,Justin Abdelkader,22,LW,DET,50,3,3,6,-11,35,-0.3,3,0,0,0,3,0,0,79,3.8,530,10:35,20,152,148,170,46.5
1,Craig Adams,32,RW,PIT,82,0,10,10,-5,72,-0.8,0,0,0,0,10,0,0,84,0.0,910,11:06,58,193,243,311,43.9
2,Maxim Afinogenov,30,RW,ATL,82,24,37,61,-17,46,5.7,18,6,0,3,25,12,0,181,13.3,1426,17:24,21,32,1,2,33.3
3,Andrew Alberts,28,D,TOT,76,3,9,12,6,87,3.1,3,0,0,0,9,0,0,50,6.0,1169,15:23,88,216,0,1,0.0
4,Andrew Alberts,28,D,CAR,62,2,8,10,7,74,2.7,2,0,0,0,8,0,0,38,5.3,935,15:04,67,172,0,0,
5,Andrew Alberts,28,D,VAN,14,1,1,2,-1,13,0.4,1,0,0,0,1,0,0,12,8.3,235,16:45,21,44,0,1,0.0
6,Daniel Alfredsson,37,RW,OTT,70,20,51,71,8,22,7.9,15,4,1,5,21,27,3,168,11.9,1377,19:40,36,41,14,25,35.9
7,Bryan Allen,29,D,FLA,74,4,9,13,-8,99,2.6,3,0,1,2,8,0,1,78,5.1,1418,19:10,137,120,0,0,
8,Cody Almond,20,C,MIN,7,1,0,1,-3,9,0.0,1,0,0,0,0,0,0,6,16.7,54,7:45,5,7,18,12,60.0
9,Karl Alzner,21,D,WSH,21,0,5,5,-2,8,0.2,0,0,0,0,5,0,0,16,0.0,344,16:24,21,15,0,0,
10,Artem Anisimov,21,C,NYR,82,12,16,28,-2,32,2.6,11,1,0,2,15,1,0,124,9.7,1058,12:54,41,45,310,380,44.9
11,Nik Antropov,29,C,ATL,76,24,43,67,13,44,7.6,16,8,0,4,30,13,0,126,19.0,1385,18:14,35,82,481,627,43.4
12,Colby Armstrong,27,RW,ATL,79,15,14,29,6,61,2.7,14,0,1,1,10,2,2,101,14.9,1169,14:48,29,74,10,10,50.0
13,Derek Armstrong,36,C,STL,6,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,6,0.0,42,6:59,0,4,7,8,46.7
14,Jason Arnott,35,C,NSH,63,19,27,46,0,26,5.1,13,6,0,3,15,12,0,216,8.8,1178,18:42,17,24,526,551,48.8
15,Dean Arsene,29,D,EDM,13,0,0,0,-3,41,-0.1,0,0,0,0,0,0,0,4,0.0,168,12:57,13,18,0,0,
16,Evgeny Artyukhin,26,RW,TOT,54,9,7,16,-4,72,1.6,9,0,0,0,7,0,0,42,21.4,482,8:56,10,127,1,1,50.0
17,Evgeny Artyukhin,26,RW,ANA,37,4,5,9,0,41,0.8,4,0,0,0,5,0,0,21,19.0,335,9:04,8,90,0,1,0.0
18,Evgeny Artyukhin,26,RW,ATL,17,5,2,7,-4,31,0.8,5,0,0,0,2,0,0,21,23.8,147,8:39,2,37,1,0,100.0
19,Arron Asham,31,RW,PHI,72,10,14,24,-2,126,2.4,10,0,0,2,14,0,0,91,11.0,725,10:04,16,92,2,11,15.4
20,Adrian Aucoin,36,D,PHX,82,8,20,28,2,56,6.3,7,1,0,2,9,11,0,144,5.6,1849,22:33,67,131,1,0,100.0
21,Keith Aucoin,31,C,WSH,9,1,4,5,-2,0,0.4,1,0,0,0,2,2,0,4,25.0,79,8:48,0,2,31,25,55.4
22,Sean Avery,29,C,NYR,69,11,20,31,0,160,3.1,8,3,0,1,14,6,0,139,7.9,923,13:23,17,145,4,10,28.6
23,David Backes,25,RW,STL,79,17,31,48,-4,106,4.6,12,5,0,3,27,3,1,163,10.4,1446,18:18,60,266,504,561,47.3
24,Mikael Backlund,20,C,CGY,23,1,9,10,5,6,0.9,1,0,0,0,9,0,0,47,2.1,290,12:36,4,12,100,86,53.8
25,Nicklas Backstrom,22,C,WSH,82,33,68,101,37,50,12.2,22,11,0,4,42,26,0,222,14.9,1677,20:27,61,90,657,660,49.9
26,Josh Bailey,20,C,NYI,73,16,19,35,5,18,3.7,12,3,1,2,12,7,0,112,14.3,1106,15:09,36,67,171,255,40.1
27,Keith Ballard,27,D,FLA,82,8,20,28,-7,88,5.1,7,1,0,1,11,8,1,90,8.9,1837,22:24,201,156,0,0,
28,Krys Barch,29,RW,DAL,63,0,6,6,0,130,-0.2,0,0,0,0,6,0,0,29,0.0,444,7:03,13,120,0,3,0.0
29,Cam Barker,23,D,TOT,70,5,16,21,5,68,4.3,1,4,0,1,10,6,0,105,4.8,1086,15:31,53,75,0,0,
30,Cam Barker,23,D,CHI,51,4,10,14,7,58,3.1,1,3,0,1,7,3,0,74,5.4,668,13:06,33,59,0,0,
31,Cam Barker,23,D,MIN,19,1,6,7,-2,10,1.2,0,1,0,0,3,3,0,31,3.2,419,22:02,20,16,0,0,
32,Oskars Bartulis,23,D,PHI,53,1,8,9,-12,28,1.0,1,0,0,0,7,1,0,26,3.8,741,13:59,67,44,0,0,
33,Nolan Baumgartner,33,D,VAN,12,1,1,2,7,2,1.0,1,0,0,0,1,0,0,12,8.3,170,14:12,26,10,0,0,
