,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
31,Jaroslav Halak,26,STL,46,46,26,12,7,90,1211,1121,.926,1.97,6,9.1,2747,29,.630,5,86,14.71,0,0,0,0
32,Josh Harding,27,MIN,34,30,13,12,4,81,981,900,.917,2.62,2,6.4,1855,18,.600,4,95,3.82,0,0,0,0
33,Johan Hedberg,38,NJD,27,23,17,7,2,59,718,659,.918,2.22,4,4.7,1591,12,.522,1,95,3.08,0,0,0,2
34,Jonas Hiller,29,ANA,73,72,29,30,12,182,2021,1839,.910,2.57,4,11.4,4253,39,.542,14,104,-7.26,0,1,1,0
35,Braden Holtby,22,WSH,7,6,4,2,1,15,192,177,.922,2.50,1,1.4,361,3,.500,1,,,0,0,0,0
36,Jimmy Howard,27,DET,57,57,35,17,4,119,1496,1377,.920,2.12,6,10.3,3360,35,.614,8,92,10.35,0,1,1,6
37,Shawn Hunwick,24,CBJ,1,0,0,0,0,0,0,0,,0.00,0,0.0,3,0,,0,,,0,0,0,0
38,Leland Irving,23,CGY,7,7,1,3,3,21,239,218,.912,3.19,0,1.4,394,5,.714,1,,,0,0,0,0
39,Brent Johnson,34,PIT,16,14,6,7,2,42,359,317,.883,3.11,0,0.9,811,4,.286,5,135,-10.96,0,1,1,0
40,Henrik Karlsson,28,CGY,9,7,1,4,2,24,239,215,.900,3.17,0,1.1,454,2,.286,1,,,0,0,0,0
41,Nikolai Khabibulin,39,EDM,40,40,12,20,7,100,1114,1014,.910,2.65,2,6.3,2261,20,.500,6,104,-3.68,0,0,0,0
42,Anton Khudobin,25,BOS,1,1,1,0,0,1,45,44,.978,1.00,0,0.6,60,1,1.000,0,,,0,0,0,0
43,Miikka Kiprusoff,35,CGY,70,68,35,22,11,162,2040,1878,.921,2.35,4,14.1,4128,40,.588,6,92,14.38,0,0,0,0
44,Jason LaBarbera,32,PHX,19,14,3,9,3,43,486,443,.912,2.54,0,2.8,1015,8,.571,1,102,-0.98,0,0,0,2
45,Robin Lehner,20,OTT,5,5,3,2,0,10,154,144,.935,2.01,1,1.3,299,4,.800,0,,,0,0,0,0
46,Kari Lehtonen,28,DAL,59,59,32,22,4,136,1739,1603,.922,2.33,4,12.3,3497,36,.610,7,90,14.36,0,3,3,0
47,Anders Lindback,23,NSH,16,10,5,8,0,32,364,332,.912,2.42,0,2.1,792,5,.500,2,102,-0.53,0,1,1,0
48,Henrik Lundqvist,29,NYR,62,62,39,18,5,123,1753,1630,.930,1.97,8,14.1,3754,40,.645,3,81,28.57,0,2,2,4
49,Roberto Luongo,32,VAN,55,54,31,14,8,127,1577,1450,.919,2.41,5,10.7,3162,32,.593,7,93,9.35,0,1,1,4
50,Joey MacDonald,31,DET,14,12,8,5,1,29,330,301,.912,2.16,0,1.9,806,5,.417,1,102,-0.47,0,0,0,0
51,Drew MacIntyre,28,BUF,2,0,0,0,0,1,18,17,.944,1.38,0,0.2,43,0,,0,,,0,0,0,0
52,Peter Mannino,27,WPG,1,0,0,0,0,0,4,4,1.000,0.00,0,0.1,20,0,,0,,,0,0,0,0
53,Jacob Markstrom,22,FLA,7,6,2,4,1,17,222,205,.923,2.66,0,1.6,383,3,.500,0,,,0,0,0,0
54,Chris Mason,35,WPG,20,15,8,7,1,43,422,379,.898,2.59,2,1.8,995,6,.400,3,118,-6.51,0,0,0,0
55,Steve Mason,23,CBJ,46,45,16,26,3,143,1355,1212,.894,3.39,1,5.1,2534,19,.422,15,122,-25.84,0,2,2,2
56,Curtis McElhinney,28,PHX,2,1,1,0,0,2,36,34,.944,1.67,0,0.4,72,1,1.000,0,,,0,0,0,0
57,Ryan Miller,31,BUF,61,60,31,21,7,150,1788,1638,.916,2.54,6,11.4,3536,33,.550,7,97,4.59,0,0,0,0
58,Al Montoya,26,NYI,31,26,9,11,5,89,832,743,.893,3.11,0,3.0,1720,13,.500,8,124,-17.06,0,0,0,2
59,Mike Murphy,23,CAR,2,0,0,1,0,0,9,9,1.000,0.00,0,0.1,36,0,,0,,,0,0,0,0
60,Evgeni Nabokov,36,NYI,42,41,19,18,3,101,1172,1071,.914,2.55,2,7.2,2378,23,.561,8,100,0.33,0,0,0,6
61,Michal Neuvirth,23,WSH,38,30,13,13,5,95,976,881,.903,2.82,3,4.7,2020,15,.500,4,113,-10.61,0,1,1,2
62,Antti Niemi,28,SJS,68,68,34,22,9,159,1865,1706,.915,2.42,6,11.6,3936,36,.529,9,99,2.25,0,0,0,2
63,Anders Nilsson,21,NYI,4,3,1,2,0,10,112,102,.911,2.75,1,0.6,218,2,.667,0,,,0,0,0,0
64,Ondrej Pavelec,24,WPG,68,67,29,28,9,191,2036,1845,.906,2.91,4,10.6,3932,35,.522,12,108,-14.96,0,2,2,0
65,Justin Peters,25,CAR,7,6,2,3,2,16,233,217,.931,2.48,1,1.9,387,5,.833,0,,,0,0,0,0
66,Kevin Poulin,21,NYI,6,6,2,4,0,15,162,147,.907,3.04,0,0.9,296,2,.333,1,,,0,1,1,0
67,Carey Price,24,MTL,65,65,26,28,11,160,1914,1754,.916,2.43,4,12.3,3944,35,.538,8,97,5.49,0,2,2,6
68,Jonathan Quick,26,LAK,69,68,35,21,13,133,1863,1730,.929,1.95,10,14.7,4099,43,.632,8,83,28.08,0,2,2,6
69,Tuukka Rask,24,BOS,23,22,11,8,3,44,621,577,.929,2.05,3,4.9,1289,13,.591,4,82,9.69,0,0,0,2
70,Andrew Raycroft,31,DAL,10,8,2,8,0,31,303,272,.898,3.51,0,1.3,529,3,.375,2,,,0,0,0,0
71,James Reimer,23,TOR,34,34,14,14,4,97,974,877,.900,3.10,3,4.4,1879,13,.382,9,115,-12.79,0,0,0,0
72,Pekka Rinne,29,NSH,73,72,43,18,8,166,2153,1987,.923,2.39,5,15.5,4169,44,.611,10,89,20.15,0,5,5,0
73,Dwayne Roloson,42,TBL,40,31,13,16,3,128,1126,998,.886,3.66,1,3.2,2099,9,.290,9,131,-30.64,0,0,0,6
74,Jussi Rynnas,24,TOR,2,1,0,1,0,7,40,33,.825,4.25,0,-0.2,99,0,.000,1,,,0,0,0,0
75,Curtis Sanford,32,CBJ,36,32,10,18,4,86,971,885,.911,2.60,1,5.7,1983,18,.563,6,102,-2.05,0,0,0,0
76,Cory Schneider,25,VAN,33,28,20,8,1,60,945,885,.937,1.96,3,8.4,1833,20,.714,2,73,21.71,0,2,2,0
77,Ben Scrivens,25,TOR,12,11,4,5,2,35,359,324,.903,3.13,0,1.7,672,5,.455,1,113,-3.96,0,0,0,4
78,Mike Smith,29,PHX,67,67,38,18,10,144,2066,1922,.930,2.21,8,16.7,3903,42,.627,9,81,34.63,0,2,2,16
79,Iiro Tarkki,26,ANA,1,0,1,0,0,3,10,7,.700,4.41,0,-0.2,41,0,,0,,,0,0,0,0
80,Jose Theodore,35,FLA,53,51,22,16,11,125,1502,1377,.917,2.46,3,9.7,3049,32,.627,6,96,4.87,0,0,0,2
81,Brad Thiessen,25,PIT,5,4,3,1,0,16,113,97,.858,3.72,0,-0.1,258,2,.500,1,,,0,0,0,2
82,Tim Thomas,37,BOS,59,55,35,19,1,132,1659,1527,.920,2.36,5,11.5,3352,30,.545,3,92,11.44,0,1,1,0
83,Dustin Tokarski,22,TBL,5,5,1,3,1,14,116,102,.879,3.45,0,0.2,244,1,.200,2,,,0,1,1,2
84,Marty Turco,36,BOS,5,4,2,2,0,16,110,94,.855,3.68,0,-0.1,261,1,.250,2,,,0,0,0,2
85,Semyon Varlamov,23,COL,53,52,26,24,3,136,1564,1428,.913,2.59,4,9.4,3151,28,.538,10,101,-0.77,0,1,1,2
86,Tomas Vokoun,35,WSH,48,46,25,17,2,108,1299,1191,.917,2.51,4,8.4,2583,23,.500,8,96,4.31,0,2,2,4
87,Cam Ward,27,CAR,68,68,30,23,13,182,2143,1961,.915,2.74,5,13.4,3988,38,.559,10,98,3.29,1,0,1,4
88,Allen York,22,CBJ,11,5,3,2,0,16,199,183,.920,2.30,0,1.4,417,3,.600,0,,,0,0,0,0
